[LOG] 2023-08-30 16:20:31 :- Loading file /opt/bitnami/wordpress/wp-content/uploads/2023/08/Jobs-and-Training-Needs-Portal-data-by-Occupation_data.csv
[LOG] 2023-08-30 16:21:03 :- Loading file /opt/bitnami/wordpress/wp-content/uploads/2023/08/Jobs-and-Training-Needs-Portal-data-by-Occupation_data.csv
[LOG] 2023-08-30 16:21:03 :- Headers found, skipping row
[ERROR] [2] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [3] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [4] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [5] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [6] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [7] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [8] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [9] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [10] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [11] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [12] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [13] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [14] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [15] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [16] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [17] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [18] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [19] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [20] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [21] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [22] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [23] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [24] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [25] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [26] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [27] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [28] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [29] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [30] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [31] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [32] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [33] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [34] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [35] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [36] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [37] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [38] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [39] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [40] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [41] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [42] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [43] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [44] 2023-08-30 16:21:03 :- Geocode failed (Missing address, lat and lng)
[ERROR] [45] 2023-08-30 16:21:04 :- Geocode failed (Missing address, lat and lng)
[ERROR] [46] 2023-08-30 16:21:04 :- Geocode failed (Missing address, lat and lng)
[ERROR] [47] 2023-08-30 16:21:04 :- Geocode failed (Missing address, lat and lng)
[ERROR] [48] 2023-08-30 16:21:04 :- Geocode failed (Missing address, lat and lng)
