sr_no,Occupation_Major_sub_Group,Region,Training_Needs,Occupation_Unit_Group
1,Arts and Media Professionals,Barwon South West,No additional commencements required,Visual Arts and Crafts Professionals
2,Arts and Media Professionals,Barwon South West,No additional commencements required,"Film, Television, Radio and Stage Directors"
3,Arts and Media Professionals,Barwon South West,No additional commencements required,Music Professionals
4,Arts and Media Professionals,Barwon South West,No additional commencements required,Photographers
5,Arts and Media Professionals,Barwon South West,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
6,Arts and Media Professionals,Barwon South West,No additional commencements required,"Actors, Dancers and Other Entertainers"
7,Arts and Media Professionals,Barwon South West,No additional commencements required,"Authors, and Book and Script Editors"
8,Arts and Media Professionals,Barwon South West,No additional commencements required,Journalists and Other Writers
9,Arts and Media Professionals,Gippsland,No additional commencements required,Journalists and Other Writers
10,Arts and Media Professionals,Gippsland,No additional commencements required,"Authors, and Book and Script Editors"
11,Arts and Media Professionals,Gippsland,No additional commencements required,Music Professionals
12,Arts and Media Professionals,Gippsland,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
13,Arts and Media Professionals,Gippsland,No additional commencements required,"Film, Television, Radio and Stage Directors"
14,Arts and Media Professionals,Gippsland,No additional commencements required,"Actors, Dancers and Other Entertainers"
15,Arts and Media Professionals,Gippsland,No additional commencements required,Visual Arts and Crafts Professionals
16,Arts and Media Professionals,Gippsland,No additional commencements required,Photographers
17,Arts and Media Professionals,Grampians,No additional commencements required,Visual Arts and Crafts Professionals
18,Arts and Media Professionals,Grampians,No additional commencements required,Photographers
19,Arts and Media Professionals,Grampians,No additional commencements required,Music Professionals
20,Arts and Media Professionals,Grampians,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
21,Arts and Media Professionals,Grampians,No additional commencements required,"Actors, Dancers and Other Entertainers"
22,Arts and Media Professionals,Grampians,No additional commencements required,"Film, Television, Radio and Stage Directors"
23,Arts and Media Professionals,Grampians,No additional commencements required,"Authors, and Book and Script Editors"
24,Arts and Media Professionals,Grampians,No additional commencements required,Journalists and Other Writers
25,Arts and Media Professionals,Hume,No additional commencements required,"Authors, and Book and Script Editors"
26,Arts and Media Professionals,Hume,No additional commencements required,Journalists and Other Writers
27,Arts and Media Professionals,Hume,No additional commencements required,Visual Arts and Crafts Professionals
28,Arts and Media Professionals,Hume,No additional commencements required,"Film, Television, Radio and Stage Directors"
29,Arts and Media Professionals,Hume,No additional commencements required,"Actors, Dancers and Other Entertainers"
30,Arts and Media Professionals,Hume,No additional commencements required,Photographers
31,Arts and Media Professionals,Hume,No additional commencements required,Music Professionals
32,Arts and Media Professionals,Hume,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
33,Arts and Media Professionals,Loddon Mallee,No additional commencements required,"Film, Television, Radio and Stage Directors"
34,Arts and Media Professionals,Loddon Mallee,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
35,Arts and Media Professionals,Loddon Mallee,No additional commencements required,"Authors, and Book and Script Editors"
36,Arts and Media Professionals,Loddon Mallee,No additional commencements required,Journalists and Other Writers
37,Arts and Media Professionals,Loddon Mallee,No additional commencements required,Photographers
38,Arts and Media Professionals,Loddon Mallee,No additional commencements required,Music Professionals
39,Arts and Media Professionals,Loddon Mallee,No additional commencements required,Visual Arts and Crafts Professionals
40,Arts and Media Professionals,Loddon Mallee,No additional commencements required,"Actors, Dancers and Other Entertainers"
41,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,"Film, Television, Radio and Stage Directors"
42,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,"Artistic Directors, and Media Producers and Presenters"
43,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,"Actors, Dancers and Other Entertainers"
44,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,Visual Arts and Crafts Professionals
45,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,Photographers
46,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,Music Professionals
47,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,"Authors, and Book and Script Editors"
48,Arts and Media Professionals,Metropolitan Melbourne,No additional commencements required,Journalists and Other Writers
49,Automotive and Engineering Trades Workers,Barwon South West,High,Metal Fitters and Machinists
50,Automotive and Engineering Trades Workers,Barwon South West,Low,Vehicle Body Builders and Trimmers
51,Automotive and Engineering Trades Workers,Barwon South West,Low,Precision Metal Trades Workers
52,Automotive and Engineering Trades Workers,Barwon South West,Low,Automotive Electricians
53,Automotive and Engineering Trades Workers,Barwon South West,Low,"Metal Casting, Forging and Finishing Trades Workers"
54,Automotive and Engineering Trades Workers,Barwon South West,Low,Aircraft Maintenance Engineers
55,Automotive and Engineering Trades Workers,Barwon South West,Low,Toolmakers and Engineering Patternmakers
56,Automotive and Engineering Trades Workers,Barwon South West,Medium,Structural Steel and Welding Trades Workers
57,Automotive and Engineering Trades Workers,Barwon South West,Medium,Motor Mechanics
58,Automotive and Engineering Trades Workers,Barwon South West,Occupation requires apprenticeship training,Vehicle Painters
59,Automotive and Engineering Trades Workers,Barwon South West,Occupation requires apprenticeship training,Panelbeaters
60,Automotive and Engineering Trades Workers,Gippsland,High,Metal Fitters and Machinists
61,Automotive and Engineering Trades Workers,Gippsland,Low,Motor Mechanics
62,Automotive and Engineering Trades Workers,Gippsland,Low,Aircraft Maintenance Engineers
63,Automotive and Engineering Trades Workers,Gippsland,Low,Vehicle Body Builders and Trimmers
64,Automotive and Engineering Trades Workers,Gippsland,Low,"Metal Casting, Forging and Finishing Trades Workers"
65,Automotive and Engineering Trades Workers,Gippsland,Low,Automotive Electricians
66,Automotive and Engineering Trades Workers,Gippsland,Low,Precision Metal Trades Workers
67,Automotive and Engineering Trades Workers,Gippsland,Low,Toolmakers and Engineering Patternmakers
68,Automotive and Engineering Trades Workers,Gippsland,Medium,Structural Steel and Welding Trades Workers
69,Automotive and Engineering Trades Workers,Gippsland,Occupation requires apprenticeship training,Vehicle Painters
70,Automotive and Engineering Trades Workers,Gippsland,Occupation requires apprenticeship training,Panelbeaters
71,Automotive and Engineering Trades Workers,Grampians,High,Metal Fitters and Machinists
72,Automotive and Engineering Trades Workers,Grampians,High,Structural Steel and Welding Trades Workers
73,Automotive and Engineering Trades Workers,Grampians,Low,Vehicle Body Builders and Trimmers
74,Automotive and Engineering Trades Workers,Grampians,Low,Automotive Electricians
75,Automotive and Engineering Trades Workers,Grampians,Low,Aircraft Maintenance Engineers
76,Automotive and Engineering Trades Workers,Grampians,Low,Precision Metal Trades Workers
77,Automotive and Engineering Trades Workers,Grampians,Low,"Metal Casting, Forging and Finishing Trades Workers"
78,Automotive and Engineering Trades Workers,Grampians,Low,Toolmakers and Engineering Patternmakers
79,Automotive and Engineering Trades Workers,Grampians,Medium,Motor Mechanics
80,Automotive and Engineering Trades Workers,Grampians,Occupation requires apprenticeship training,Vehicle Painters
81,Automotive and Engineering Trades Workers,Grampians,Occupation requires apprenticeship training,Panelbeaters
82,Automotive and Engineering Trades Workers,Hume,High,Metal Fitters and Machinists
83,Automotive and Engineering Trades Workers,Hume,High,Structural Steel and Welding Trades Workers
84,Automotive and Engineering Trades Workers,Hume,Low,Aircraft Maintenance Engineers
85,Automotive and Engineering Trades Workers,Hume,Low,Automotive Electricians
86,Automotive and Engineering Trades Workers,Hume,Low,Precision Metal Trades Workers
87,Automotive and Engineering Trades Workers,Hume,Low,"Metal Casting, Forging and Finishing Trades Workers"
88,Automotive and Engineering Trades Workers,Hume,Low,Toolmakers and Engineering Patternmakers
89,Automotive and Engineering Trades Workers,Hume,Medium,Motor Mechanics
90,Automotive and Engineering Trades Workers,Hume,Medium,Vehicle Body Builders and Trimmers
91,Automotive and Engineering Trades Workers,Hume,Occupation requires apprenticeship training,Vehicle Painters
92,Automotive and Engineering Trades Workers,Hume,Occupation requires apprenticeship training,Panelbeaters
93,Automotive and Engineering Trades Workers,Loddon Mallee,High,Structural Steel and Welding Trades Workers
94,Automotive and Engineering Trades Workers,Loddon Mallee,High,Metal Fitters and Machinists
95,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Motor Mechanics
96,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Vehicle Body Builders and Trimmers
97,Automotive and Engineering Trades Workers,Loddon Mallee,Low,"Metal Casting, Forging and Finishing Trades Workers"
98,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Precision Metal Trades Workers
99,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Automotive Electricians
100,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Aircraft Maintenance Engineers
101,Automotive and Engineering Trades Workers,Loddon Mallee,Low,Toolmakers and Engineering Patternmakers
102,Automotive and Engineering Trades Workers,Loddon Mallee,Occupation requires apprenticeship training,Vehicle Painters
103,Automotive and Engineering Trades Workers,Loddon Mallee,Occupation requires apprenticeship training,Panelbeaters
104,Automotive and Engineering Trades Workers,Metropolitan Melbourne,High,Motor Mechanics
105,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Low,Toolmakers and Engineering Patternmakers
106,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Low,Precision Metal Trades Workers
107,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Medium,Aircraft Maintenance Engineers
108,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Medium,Vehicle Body Builders and Trimmers
109,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Medium,"Metal Casting, Forging and Finishing Trades Workers"
110,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Medium,Automotive Electricians
111,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Occupation requires apprenticeship training,Vehicle Painters
112,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Occupation requires apprenticeship training,Panelbeaters
113,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Very high,Structural Steel and Welding Trades Workers
114,Automotive and Engineering Trades Workers,Metropolitan Melbourne,Very high,Metal Fitters and Machinists
115,"Business, Human Resource and Marketing Professionals",Barwon South West,Low,Accountants
116,"Business, Human Resource and Marketing Professionals",Barwon South West,Low,Advertising and Marketing Professionals
117,"Business, Human Resource and Marketing Professionals",Barwon South West,Low,Other Information and Organisation Professionals
118,"Business, Human Resource and Marketing Professionals",Barwon South West,Low,Financial Investment Advisers and Managers
119,"Business, Human Resource and Marketing Professionals",Barwon South West,Low,Training and Development Professionals
120,"Business, Human Resource and Marketing Professionals",Barwon South West,Medium,Financial Brokers
121,"Business, Human Resource and Marketing Professionals",Barwon South West,Medium,Human Resource Professionals
122,"Business, Human Resource and Marketing Professionals",Barwon South West,No additional commencements required,Public Relations Professionals
123,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Training and Development Professionals
124,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Accountants
125,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Financial Investment Advisers and Managers
126,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Advertising and Marketing Professionals
127,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Other Information and Organisation Professionals
128,"Business, Human Resource and Marketing Professionals",Gippsland,Low,Public Relations Professionals
129,"Business, Human Resource and Marketing Professionals",Gippsland,Medium,Financial Brokers
130,"Business, Human Resource and Marketing Professionals",Gippsland,Medium,Human Resource Professionals
131,"Business, Human Resource and Marketing Professionals",Grampians,Low,Financial Investment Advisers and Managers
132,"Business, Human Resource and Marketing Professionals",Grampians,Low,Accountants
133,"Business, Human Resource and Marketing Professionals",Grampians,Low,Advertising and Marketing Professionals
134,"Business, Human Resource and Marketing Professionals",Grampians,Low,Training and Development Professionals
135,"Business, Human Resource and Marketing Professionals",Grampians,Low,Other Information and Organisation Professionals
136,"Business, Human Resource and Marketing Professionals",Grampians,Medium,Financial Brokers
137,"Business, Human Resource and Marketing Professionals",Grampians,Medium,Human Resource Professionals
138,"Business, Human Resource and Marketing Professionals",Grampians,No additional commencements required,Public Relations Professionals
139,"Business, Human Resource and Marketing Professionals",Hume,Low,Training and Development Professionals
140,"Business, Human Resource and Marketing Professionals",Hume,Low,Accountants
141,"Business, Human Resource and Marketing Professionals",Hume,Low,Advertising and Marketing Professionals
142,"Business, Human Resource and Marketing Professionals",Hume,Low,Financial Investment Advisers and Managers
