sr_no,Occupation_Major_sub_Group,Region,Training_Needs,courses
1,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Visual Arts
2,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Design
3,Arts and Media Professionals,Barwon South West,No additional commencements required,Advanced Diploma of Creative Product Development
4,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Visual Arts
5,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Aboriginal and/or Torres Strait Islander Cultural Arts
6,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate III in Aboriginal and/or Torres Strait Islander Cultural Arts
7,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate II in Visual Arts
8,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate III in Visual Arts
9,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate III in Design Fundamentals
10,Arts and Media Professionals,Barwon South West,No additional commencements required,Advanced Diploma of Visual Arts
11,Arts and Media Professionals,Barwon South West,No additional commencements required,Advanced Diploma of Screen and Media
12,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Music
13,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Photography and Digital Imaging
14,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Photography and Digital Imaging
15,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Screen and Media
16,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Professional Dance (Elite Performance)
17,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Musical Theatre
18,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Musical Theatre
19,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Circus Arts
20,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate III in Circus Arts
21,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Dance
22,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate III in Dance
23,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate II in Dance
24,Arts and Media Professionals,Barwon South West,No additional commencements required,Advanced Diploma of Professional Screenwriting
25,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Live Production and Technical Services
26,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Professional Writing and Editing
27,Arts and Media Professionals,Barwon South West,No additional commencements required,Certificate IV in Professional Writing and Editing
28,Arts and Media Professionals,Barwon South West,No additional commencements required,Diploma of Screen and Media
29,Arts and Media Professionals,Gippsland,No additional commencements required,Certificate IV in Professional Writing and Editing
30,Arts and Media Professionals,Gippsland,No additional commencements required,Diploma of Professional Writing and Editing
31,Arts and Media Professionals,Gippsland,No additional commencements required,Diploma of Music
32,Arts and Media Professionals,Gippsland,No additional commencements required,Advanced Diploma of Professional Screenwriting
33,Arts and Media Professionals,Gippsland,No additional commencements required,Certificate IV in Screen and Media
34,Arts and Media Professionals,Gippsland,No additional commencements required,Diploma of Live Production and Technical Services
35,Arts and Media Professionals,Gippsland,No additional commencements required,Certificate IV in Circus Arts
36,Arts and Media Professionals,Gippsland,No additional commencements required,Certificate III in Circus Arts
37,Arts and Media Professionals,Gippsland,No additional commencements required,Diploma of Musical Theatre
