Number,occupation,Core_Competency,Score,Proficiency_Level,Tasks
1,Chief Executives and Managing Directors,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
2,Chief Executives and Managing Directors,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
3,Chief Executives and Managing Directors,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals
4,Chief Executives and Managing Directors,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
5,Chief Executives and Managing Directors,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
6,Chief Executives and Managing Directors,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
7,Chief Executives and Managing Directors,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
8,Chief Executives and Managing Directors,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
9,Chief Executives and Managing Directors,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
10,Chief Executives and Managing Directors,Writing,7,Intermediate,Write a detailed literature review
11,General Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
12,General Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
13,General Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
14,General Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
15,General Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
16,General Managers,Writing,7,Intermediate,Write a detailed literature review
17,General Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
18,General Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
19,General Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
20,General Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
21,Livestock Farmers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
22,Livestock Farmers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
23,Livestock Farmers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
24,Livestock Farmers,Digital engagement,4,Intermediate,"Recognise different ways to connect to the internet (e.g. Bluetooth, Wi-Fi, hotspot)"
25,Livestock Farmers,Teamwork,5,Intermediate,"Recognise and avoid inappropriate behaviours, such as use of discriminatory language, that undermine effective group interaction"
26,Livestock Farmers,Writing,6,Intermediate,Write a memo to staff outlining new directives
27,Livestock Farmers,Reading,6,Intermediate,Read a memo from management describing new personnel policies
28,Livestock Farmers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
29,Livestock Farmers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
30,Livestock Farmers,Oral communication,6,Intermediate,Give instructions to a lost driver
31,Corporate Services Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
32,Corporate Services Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
33,Corporate Services Managers,Numeracy,5,Intermediate,Create charts and graphs to accurately convey the results of a customer satisfaction survey
34,Corporate Services Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
35,Corporate Services Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
36,Corporate Services Managers,Writing,7,Intermediate,Write a detailed literature review
37,Corporate Services Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
38,Corporate Services Managers,Learning,6,Intermediate,Determine the impact of new menu changes on a restaurant's purchasing requirements
39,Corporate Services Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
40,Corporate Services Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
41,Finance Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
42,Finance Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
43,Finance Managers,Numeracy,7,Intermediate,Write a detailed report based on a comprehensive statistical analysis of the causes of workplace accidents
44,Finance Managers,Digital engagement,7,Intermediate,Write software for keeping track of items in an inventory
45,Finance Managers,Teamwork,6,Intermediate,Initiate team problem solving sessions
46,Finance Managers,Writing,7,Intermediate,Write a detailed literature review
47,Finance Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
48,Finance Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
49,Finance Managers,Problem solving,7,Intermediate,Evaluate a construction project and recommend changes to comply with external standards and regulations
50,Finance Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
51,Human Resource Managers,Teamwork,8,High,Engage with clients from a range of backgrounds and identify options to help them meet their needs
52,Human Resource Managers,Planning and organising,8,High,"Develop a program of multiple live musical performances, special events and sports carnivals throughout the year at a sports club venue and coordinate volunteers, staff and contractors to deliver the events"
53,Human Resource Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
54,Human Resource Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
55,Human Resource Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
56,Human Resource Managers,Writing,7,Intermediate,Write a detailed literature review
57,Human Resource Managers,Reading,7,Intermediate,Read a book on leading and managing change in a diverse and evolving workplace.
58,Human Resource Managers,Learning,7,Intermediate,Effectively apply change management techniques while managing a diverse team
59,Human Resource Managers,Problem solving,6,Intermediate,Redesign a floor layout to take advantage of new manufacturing techniques
60,Human Resource Managers,Oral communication,7,Intermediate,Participate in a work meeting and ask appropriate follow up questions
61,Policy and Planning Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
62,Policy and Planning Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
63,Policy and Planning Managers,Problem solving,8,High,Examine records and data to investigate and prosecute corporate criminals
64,Policy and Planning Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
65,Policy and Planning Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
66,Policy and Planning Managers,Initiative and innovation,9,High,Collaborate with people from a range of backgrounds to prepare and deliver an original piece of work
67,Policy and Planning Managers,Numeracy,6,Intermediate,Calculate the square footage of a new home under construction based on plans using scales and ratios
68,Policy and Planning Managers,Digital engagement,6,Intermediate,"Use software on a portable device to document a building inspection by recording measurements, checking compliance and uploading photos"
69,Policy and Planning Managers,Teamwork,7,Intermediate,"Share knowledge, experience, information and resources with others as an integral part of work relationships"
70,Policy and Planning Managers,Writing,7,Intermediate,Write a detailed literature review
71,Research and Development Managers,Reading,8,High,Read and analyse information comparing the impact of downturns in the global economy on the cost of producing and selling beef
72,Research and Development Managers,Learning,8,High,Develop and implement a new business strategy based on changing market conditions
73,Research and Development Managers,Oral communication,8,High,"Explain a complex procedure or process to a client, taking into account linguistic needs and cultural sensitivities."
74,Research and Development Managers,Planning and organising,9,High,Prioritise and plan multiple complex tasks several months ahead
75,Research and Development Managers,Initiative and innovation,8,High,Negotiate a price and sales terms then prepare a contract for a house
