Industry,May-22 (%),May-23 (%)
Accommodation and Food Services,20,21.2
Retail Trade,16.6,17.5
Administrative and Support Services,11.7,16.4
Arts and Recreation Services,17.3,14.7
"Transport, Postal and Warehousing",12.6,14.4
Health Care and Social Assistance,10.3,12.2
Construction,11.2,11.4
Manufacturing,10.7,10.7
Information Media and Telecommunications,10.4,10.3
Other Services,11.5,10.3
Education and Training,8.7,9.4
Wholesale Trade,9.4,9.3
"Electricity, Gas, Water and Waste Services",9,8.1
"Rental, Hiring and Real Estate Services",5.9,7.1
"Professional, Scientific and Technical Services",7.5,6.5
"Agriculture, Forestry and Fishing",7.2,6.3
Public Administration and Safety,6.7,6.3
Financial and Insurance Services,5.2,4.3
Mining,5.9,3.4
