sr_no,Occupation_Major_sub_Group,Occupation_Unit_Group,Region,Training_Needs,Associated_courses
1,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate III in Individual Support
2,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Diploma of Mental Health
3,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate III in Health Support Services
4,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate IV in Community Services
5,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate IV in Ageing Support
6,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate IV in Disability
7,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate III in Community Services
8,Carers and Aides,Aged and Disabled Carers,Barwon South West,Very high,Certificate III in Allied Health Assistance
9,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate IV in Ageing Support
10,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate III in Community Services
11,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Diploma of Mental Health
12,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate III in Individual Support
13,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate IV in Community Services
14,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate IV in Disability
15,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate III in Health Support Services
16,Carers and Aides,Aged and Disabled Carers,Gippsland,Very high,Certificate III in Allied Health Assistance
17,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate IV in Ageing Support
18,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate III in Community Services
19,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate III in Individual Support
20,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate III in Health Support Services
21,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate IV in Community Services
22,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate IV in Disability
23,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Certificate III in Allied Health Assistance
24,Carers and Aides,Aged and Disabled Carers,Grampians,Very high,Diploma of Mental Health
25,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate IV in Disability
26,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate III in Individual Support
27,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate III in Health Support Services
28,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Diploma of Mental Health
29,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate IV in Ageing Support
30,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate III in Allied Health Assistance
31,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate IV in Community Services
32,Carers and Aides,Aged and Disabled Carers,Hume,Very high,Certificate III in Community Services
33,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate III in Community Services
34,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate III in Allied Health Assistance
35,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate IV in Disability
36,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate III in Health Support Services
37,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate III in Individual Support
38,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Diploma of Mental Health
39,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate IV in Ageing Support
40,Carers and Aides,Aged and Disabled Carers,Loddon Mallee,Very high,Certificate IV in Community Services
41,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate III in Health Support Services
42,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate III in Community Services
43,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Diploma of Mental Health
44,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate III in Individual Support
45,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate III in Allied Health Assistance
46,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate IV in Community Services
47,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate IV in Disability
48,Carers and Aides,Aged and Disabled Carers,Metropolitan Melbourne,Very high,Certificate IV in Ageing Support
49,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Retail Cosmetics
50,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Visual Arts
51,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Tourism
52,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate III in Greengrocery
53,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Food Processing
54,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Hospitality
55,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Floristry (Assistant)
56,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Horticulture
57,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Meat Processing (Meat Retailing)
58,Sales Assistants and Salespersons,Sales Assistants (General),Barwon South West,High,Certificate II in Salon Assistant
