number,ANZSCO_Code,Occupation_title
1,111111,Chief Executive or Managing Director
2,111211,Corporate General Manager
3,121111,Aquaculture Farmer
4,121311,Apiarist
5,121312,Beef Cattle Farmer
6,121313,Dairy Cattle Farmer
7,121314,Deer Farmer
8,121315,Goat Farmer
9,121316,Horse Breeder
10,121318,Pig Farmer
11,121321,Poultry Farmer
12,121322,Sheep Farmer
13,121323,Mixed Cattle and Sheep Farmer
14,121399,Livestock Farmers nec
15,121511,Cotton Grower
16,121512,"Grain, Oilseed, Pulse or Pasture Grower / Field Crop Grower"
17,121513,Sugar Cane Grower
18,121599,Broadacre Crop Growers nec
19,121611,Flower Grower
20,121612,Fruit Grower
21,121613,Nut Grower
22,121614,Production Nursery Grower
23,121615,Turf Grower
24,121616,Vegetable Grower (Aus) / Market Gardener (NZ)
25,121617,Wine Grape Grower
26,121699,Horticultural Crop Growers nec
27,121711,Broadacre Crop and Livestock Farmer
28,121799,Mixed Production Farmers nec
29,131112,Sales and Marketing Manager
30,131113,Advertising Manager
31,131114,Public Relations Manager
32,132111,Corporate Services Manager
33,132211,Finance Manager
34,132311,Human Resource Manager
35,132411,Policy and Planning Manager
36,132511,Research and Development Manager
37,133111,Construction Project Manager
38,133112,Project Builder
39,133211,Engineering Manager
40,133311,Importer or Exporter
41,133312,Wholesaler
42,133411,Manufacturer
43,133511,Production Manager (Forestry)
44,133512,Production Manager (Manufacturing)
45,133513,Production Manager (Mining)
46,133611,Supply and Distribution Manager
47,133612,Procurement Manager
48,134111,Child Care Centre Manager
49,134211,Medical Administrator / Medical Superintendent
50,134212,Nursing Clinical Director
51,134213,Primary Health Organisation Manager
52,134214,Welfare Centre Manager
53,134299,Health and Welfare Services Managers nec
54,134311,School Principal
55,134411,Faculty Head
56,134412,Regional Education Manager
57,134499,Education Managers nec
58,135111,Chief Information Officer
59,135112,ICT Project Manager
60,135199,ICT Managers nec
61,139911,Arts Administrator or Manager
62,139912,Environmental Manager
63,139913,Laboratory Manager
64,139914,Quality Assurance Manager
65,139915,Sports Administrator
66,139999,Specialist Managers nec
67,141111,Cafe or Restaurant Manager
68,141211,Caravan Park and Camping Ground Manager
69,141311,Hotel or Motel Manager
70,141411,Licensed Club Manager
71,141911,Bed and Breakfast Operator
72,141912,Retirement Village Manager
73,141999,Accommodation and Hospitality Managers nec
74,142111,Retail Manager (General)
75,142112,Antique Dealer
76,142113,Betting Agency Manager
77,142114,Hair or Beauty Salon Manager
78,142115,Post Office Manager
79,142116,Travel Agency Manager
80,149111,Amusement Centre Manager
81,149112,Fitness Centre Manager
82,149113,Sports Centre Manager
83,149211,Call or Contact Centre Manager
84,149212,Customer Service Manager
85,149311,Conference and Event Organiser
86,149411,Fleet Manager
87,149412,Railway Station Manager
88,149413,Transport Company Manager
89,149911,Boarding Kennel or Cattery Operator
90,149912,Cinema or Theatre Manager
91,149913,Facilities Manager
92,149914,Financial Institution Branch Manager
93,149915,Equipment Hire Manager
94,149999,"Hospitality, Retail and Service Managers nec"
95,211111,Actor
96,211112,Dancer or Choreographer
97,211113,Entertainer or Variety Artist
98,211199,"Actors, Dancers and Other Entertainers nec"
99,211211,Composer
100,211212,Music Director
101,211213,Musician (Instrumental)
102,211214,Singer
103,211299,Music Professionals nec
104,211311,Photographer
105,211411,Painter (Visual Arts)
106,211412,Potter or Ceramic Artist
107,211413,Sculptor
108,211499,Visual Arts and Crafts Professionals nec
109,212111,Artistic Director
110,212112,Media Producer (excluding Video)
111,212113,Radio Presenter
112,212114,Television Presenter
113,212211,Author
114,212212,Book or Script Editor
115,212311,"Art Director (Film, Television or Stage)"
116,212312,"Director (Film, Television, Radio or Stage)"
117,212313,Director of Photography
118,212314,Film and Video Editor
119,212315,Program Director (Television or Radio)
120,212316,Stage Manager
121,212317,Technical Director
122,212318,Video Producer
123,212399,"Film, Television, Radio and Stage Directors nec"
124,212411,Copywriter
125,212412,Newspaper or Periodical Editor
126,212413,Print Journalist
127,212414,Radio Journalist
128,212415,Technical Writer
129,212416,Television Journalist
130,212499,Journalists and Other Writers nec
131,221111,Accountant (General)
132,221112,Management Accountant
133,221113,Taxation Accountant
134,221211,Company Secretary
135,221212,Corporate Treasurer
136,221213,External Auditor
137,221214,Internal Auditor
138,222111,Commodities Trader
139,222112,Finance Broker
140,222113,Insurance Broker
141,222199,Financial Brokers nec
142,222211,Financial Market Dealer
143,222212,Futures Trader
144,222213,Stockbroking Dealer
145,222299,Financial Dealers nec
146,222311,Financial Investment Adviser
147,222312,Financial Investment Manager
148,223111,Human Resource Adviser
149,223112,Recruitment Consultant
150,223113,Workplace Relations Adviser
151,223311,Training and Development Professional
152,224111,Actuary
153,224112,Mathematician
154,224113,Statistician
155,224211,Archivist
156,224212,Gallery or Museum Curator
157,224213,Health Information Manager
158,224214,Records Manager
159,224311,Economist
160,224411,Intelligence Officer
161,224412,Policy Analyst
162,224511,Land Economist
163,224512,Valuer
164,224611,Librarian
165,224711,Management Consultant
166,224712,Organisation and Methods Analyst
167,224911,Electorate Officer
168,224912,Liaison Officer
169,224913,Migration Agent / Immigration Consultant
170,224914,Patents Examiner
171,224999,Information and Organisation Professionals nec
172,225111,Advertising Specialist
173,225112,Market Research Analyst
174,225113,Marketing Specialist
175,225114,Content Creator (Marketing)
176,225115,Digital Marketing Analyst
177,225211,ICT Account Manager
178,225212,ICT Business Development Manager
179,225213,ICT Sales Representative
180,225311,Public Relations Professional
181,225411,Sales Representative (Industrial Products)
182,225412,Sales Representative (Medical and Pharmaceutical Products)
183,225499,Technical Sales Representatives nec
184,231111,Aeroplane Pilot
185,231112,Air Traffic Controller
186,231113,Flying Instructor
187,231114,Helicopter Pilot
188,231199,Air Transport Professionals nec
189,231211,Master Fisher
190,231212,Ship's Engineer
191,231213,Ship's Master
192,231214,Ship's Officer
193,231215,Marine Surveyor
194,231299,Marine Transport Professionals nec
195,232111,Architect
196,232112,Landscape Architect
197,232212,Surveyor
198,232213,Cartographer
199,232214,Other Spatial Scientist
200,232311,Fashion Designer
201,232312,Industrial Designer
202,232313,Jewellery Designer
203,232411,Graphic Designer
204,232412,Illustrator
205,232413,Multimedia Designer
