Num,Options
1,Carers and Aides
2,Sales Assistants and Salespersons
3,General Clerical Workers
4,Machine and Stationary Plant Operators
5,Food Trades Workers
6,Specialist Managers
7,Automotive and Engineering Trades Workers
8,Mobile Plant Operators
9,Inquiry Clerks and Receptionists
10,Cleaners and Laundry Workers
11,Education Professionals
12,Storepersons
13,"Engineering, ICT and Science Technicians"
14,Sales Support Workers
15,Hospitality Workers
16,Office Managers and Program Administrators
17,Skilled Animal and Horticultural Workers
18,Food Preparation Assistants
19,"Hospitality, Retail and Service Managers"
20,"Design, Engineering, Science and Transport Professionals"
21,Road and Rail Drivers
22,Protective Service Workers
23,Numerical Clerks
24,Other Technicians and Trades Workers
25,Health and Welfare Support Workers
26,"Business, Human Resource and Marketing Professionals"
27,Sales Representatives and Agents
28,Construction Trades Workers
29,Sports and Personal Service Workers
30,Other Clerical and Administrative Workers
31,Farmers and Farm Managers
32,Factory Process Workers
33,ICT Professionals
34,Construction and Mining Labourers
35,Other Labourers
36,"Legal, Social and Welfare Professionals"
37,"Farm, Forestry and Garden Workers"
38,"Chief Executives, General Managers and Legislators"
39,Health Professionals
40,Personal Assistants and Secretaries
41,Electrotechnology and Telecommunications Trades Workers
42,Arts and Media Professionals
